X,Y,Text to Display,Element To Create,BGR,BGG,BGB,FGR,FGB,FGG,Stereotype
0,0,Domain/Aspect  ,null,0,0,0,255,255,255,null
1,0,01-Story &Context,null,0,0,0,255,255,255,null
2,0,02-Structure  ,null,0,0,0,255,255,255,null
3,0,03-Process &Behaviour,null,0,0,0,255,255,255,null
4,0,04-Interaction &Collaboration,null,0,0,0,255,255,255,null
5,0,05-Interface  ,null,0,0,0,255,255,255,null
6,0,06-Requirement  ,null,0,0,0,255,255,255,null
7,0,07-Safety &Security,null,0,0,0,255,255,255,null
8,0,08-Mapping &CrossReference,null,0,0,0,255,255,255,null
0,1,Operational Domain,null,41,64,121,255,255,255,null
0,2,Operational Domain,null,41,64,121,255,255,255,null
0,3,Operational Domain,null,41,64,121,255,255,255,null
0,4,Operational Domain,null,41,64,121,255,255,255,null
1,1,O1_OSTY Operational Story,SAF_O1_OSTY,41,64,121,255,255,255,null
1,2,O1_OCXD Operational ContextDefinition,SAF_O1_OCXD,41,64,121,255,255,255,null
1,3,O1_OCXE Operational ContextExchange,SAF_O1_OCXE,41,64,121,255,255,255,null
1,4,-,null,41,64,121,255,255,255,null
2,1,O2_ODIK Operational Domain Item Kind,SAF_O2_ODIK,41,64,121,255,255,255,null
2,2,O2_OPRF Operational Performer,SAF_O2_OPRF,41,64,121,255,255,255,null
2,3,O2_OCYD Operational Capability Definition,SAF_O2_OCYD,41,64,121,255,255,255,null
2,4,O2_STID Stakeholder Identification,SAF_O2_STID,41,64,121,255,255,255,null
3,1,O3_OPRO Operational Process,SAF_O3_OPRO,41,64,121,255,255,255,null
3,2,-,null,41,64,121,255,255,255,null
3,3,-,null,41,64,121,255,255,255,null
3,4,-,null,41,64,121,255,255,255,null
4,1,O4_OCXI Operational Context Interaction,SAF_O4_OCXI,41,64,121,255,255,255,null
4,2,-,null,41,64,121,255,255,255,null
4,3,-,null,41,64,121,255,255,255,null
4,4,-,null,41,64,121,255,255,255,null
5,1,-,null,41,64,121,255,255,255,null
5,2,-,null,41,64,121,255,255,255,null
5,3,-,null,41,64,121,255,255,255,null
5,4,-,null,41,64,121,255,255,255,null
6,1,O6_SKRD Stakeholder Requirement Definition,SAF_O6_SKRD,41,64,121,255,255,255,null
6,2,-,null,41,64,121,255,255,255,null
6,3,-,null,41,64,121,255,255,255,null
6,4,-,null,41,64,121,255,255,255,null
7,1,-,null,41,64,121,255,255,255,null
7,2,-,null,41,64,121,255,255,255,null
7,3,-,null,41,64,121,255,255,255,null
7,4,-,null,41,64,121,255,255,255,null
8,1,O8_OCYM Operational CapabilityMapping,SAF_O8_OCYM,41,64,121,255,255,255,null
8,2,O8_OPRM Operational Process Mapping (Diagram),SAF_O8_OPRM,41,64,121,255,255,255,null
8,3,O8_OPRM Operational Process Mapping (Table),SAF_O8_OPRM_Table,41,64,121,255,255,255,null
8,4,O8_OPRM Operational Process Mapping (Matrix),SAF_O8_OPRM_Matrix,41,64,121,255,255,255,null
