X,Y,Text to Display,Element To Create,BGR,BGG,BGB,FGR,FGB,FGG,Stereotype
0,0,Domain/Aspect  ,null,0,0,0,255,255,255,null
1,0,01-Story &Context,null,0,0,0,255,255,255,null
2,0,02-Structure  ,null,0,0,0,255,255,255,null
3,0,03-Process &Behaviour,null,0,0,0,255,255,255,null
4,0,04-Interaction &Collaboration,null,0,0,0,255,255,255,null
5,0,05-Interface  ,null,0,0,0,255,255,255,null
6,0,06-Requirement  ,null,0,0,0,255,255,255,null
7,0,07-Safety &Security,null,0,0,0,255,255,255,null
8,0,08-Mapping &CrossReference,null,0,0,0,255,255,255,null
0,1,Functional Domain,null,109,163,217,255,255,255,null
0,2,Functional Domain,null,109,163,217,255,255,255,null
0,3,Functional Domain,null,109,163,217,255,255,255,null
0,4,Functional Domain,null,109,163,217,255,255,255,null
1,1,SFV01a System Use Case Diagram,SAF_SFV01a_View_SystemUseCase,109,163,217,255,255,255,null
1,2,SFV01b System Context Definition,SAF_SFV01b_View_SystemContextDefinition,109,163,217,255,255,255,null
1,3,SFV01c System Context Exchange,SAF_SFV01c_View_SystemContextExchange,109,163,217,255,255,255,null
1,4,-,null,109,163,217,255,255,255,null
2,1,SFV02a System Domain Item Kind,SAF_SFV02a_View_SystemDomainItemKind,109,163,217,255,255,255,null
2,2,SFV02b System Capability,SAF_SFV02b_View_SystemCapability,109,163,217,255,255,255,null
2,3,SFV02c System Functional Breakdown,SAF_SFV02c_View_SystemFunctionalBreakdownStructure,109,163,217,255,255,255,null
2,4,-,null,109,163,217,255,255,255,null
3,1,SFV03a System Process,SAF_SFV03a_View_SystemProcess,109,163,217,255,255,255,null
3,2,SFV03b System Functional Refinement,SAF_SFV03b_View_SystemFunctionalRefinement,109,163,217,255,255,255,null
3,3,SFV03c System State,SAF_SFV03c_View_SystemState,109,163,217,255,255,255,null
3,4,-,null,109,163,217,255,255,255,null
4,1,SFV04a System Context Interaction,SAF_SFV04a_View_SystemContextInteraction,109,163,217,255,255,255,null
4,2,-,null,109,163,217,255,255,255,null
4,3,-,null,109,163,217,255,255,255,null
4,4,-,null,109,163,217,255,255,255,null
5,1,SFV05a System Interface Definition,SAF_SFV05a_View_SystemInterfaceDefinition,109,163,217,255,255,255,null
5,2,-,null,109,163,217,255,255,255,null
5,3,-,null,109,163,217,255,255,255,null
5,4,-,null,109,163,217,255,255,255,null
6,1,SFV06a System Requirement (Diagram),SAF_SFV06a_View_SystemRequirement_Diagram,109,163,217,255,255,255,null
6,2,SFV06a System Requirement (TableView),SAF_SFV06a_View_SystemRequirement_TableView,109,163,217,255,255,255,null
6,3,-,null,109,163,217,255,255,255,null
6,4,-,null,109,163,217,255,255,255,null
7,1,-,null,109,163,217,255,255,255,null
7,2,-,null,109,163,217,255,255,255,null
7,3,-,null,109,163,217,255,255,255,null
7,4,-,null,109,163,217,255,255,255,null
8,1,SFV08a System Capability Mapping (Diagram),SAF_SFV08a_View_SystemCapabilityMapping_Diagram,109,163,217,255,255,255,null
8,2,SFV08a System Capability Mapping (TableView),SAF_SFV08a_View_SystemCapabilityMapping_TableView,109,163,217,255,255,255,null
8,3,SFV08b System Requirement Traceability (Diagram),SAF_SFV08b_View_SystemRequirementTraceability_Diagram,109,163,217,255,255,255,null
8,4,SFV08b System Requirement Traceability (TableView),SAF_SFV08b_View_SystemRequirementTraceability_TableView,109,163,217,255,255,255,null
