X,Y,Text to Display,Element To Create,BGR,BGG,BGB,FGR,FGB,FGG,Stereotype
0,0,Domain/Aspect  ,null,0,0,0,255,255,255,null
1,0,01-Story &Context,null,0,0,0,255,255,255,null
2,0,02-Structure  ,null,0,0,0,255,255,255,null
3,0,03-Process &Behaviour,null,0,0,0,255,255,255,null
4,0,04-Interaction &Collaboration,null,0,0,0,255,255,255,null
5,0,05-Interface  ,null,0,0,0,255,255,255,null
6,0,06-Requirement  ,null,0,0,0,255,255,255,null
7,0,07-Safety &Security,null,0,0,0,255,255,255,null
8,0,08-Mapping &CrossReference,null,0,0,0,255,255,255,null
0,1,Operational Domain,null,41,64,121,255,255,255,null
0,2,Operational Domain,null,41,64,121,255,255,255,null
0,3,Operational Domain,null,41,64,121,255,255,255,null
0,4,Operational Domain,null,41,64,121,255,255,255,null
1,1,SOV01a Operational Story,SAF_SOV01a_View_OperationalStory,41,64,121,255,255,255,null
1,2,SOV01b Operational ContextDefinition,SAF_SOV01b_View_OperationalContextDefinition,41,64,121,255,255,255,null
1,3,SOV01c Operational ContextExchange,SAF_SOV01c_View_OperationalContextExchange,41,64,121,255,255,255,null
1,4,-,null,41,64,121,255,255,255,null
2,1,SOV02a Operational DomainKind,SAF_SOV02a_View_OperationalDomainItemKind,41,64,121,255,255,255,null
2,2,SOV02b Operational PerformerDefinition,SAF_SOV02b_View_OperationalPerformerDefinition,41,64,121,255,255,255,null
2,3,SOV02c Operational Capability,SAF_SOV02c_View_OperationalCapabilityDiagram,41,64,121,255,255,255,null
2,4,SOV02d Stakeholder Identification,SAF_SOV02d_View_StakeholderIdentification,41,64,121,255,255,255,null
3,1,SOV03a Operational Process,SAF_SOV03a_View_OperationalProcess,41,64,121,255,255,255,null
3,2,-,null,41,64,121,255,255,255,null
3,3,-,null,41,64,121,255,255,255,null
3,4,-,null,41,64,121,255,255,255,null
4,1,SOV04a Operational Interaction,SAF_SOV04a_View_OperationalInteraction,41,64,121,255,255,255,null
4,2,-,null,41,64,121,255,255,255,null
4,3,-,null,41,64,121,255,255,255,null
4,4,-,null,41,64,121,255,255,255,null
5,1,-,null,41,64,121,255,255,255,null
5,2,-,null,41,64,121,255,255,255,null
5,3,-,null,41,64,121,255,255,255,null
5,4,-,null,41,64,121,255,255,255,null
6,1,SOV06a Stakeholder Requirement,SAF_SOV06a_View_StakeholderRequirement_Diagram,41,64,121,255,255,255,null
6,2,-,null,41,64,121,255,255,255,null
6,3,-,null,41,64,121,255,255,255,null
6,4,-,null,41,64,121,255,255,255,null
7,1,-,null,41,64,121,255,255,255,null
7,2,-,null,41,64,121,255,255,255,null
7,3,-,null,41,64,121,255,255,255,null
7,4,-,null,41,64,121,255,255,255,null
8,1,SOV08a Operational CapabilityMapping,SAF_SOV08a_View_OperationalCapabilityMapping_Diagram,41,64,121,255,255,255,null
8,2,SOV08b Operational ProcessMapping (Diagram),SAF_SOV08b_View_OperationalProcessMapping_Diagram,41,64,121,255,255,255,null
8,3,SOV08b Operational ProcessMapping (Table),SAF_SOV08b_View_OperationalProcessMapping_TableView,41,64,121,255,255,255,null
8,4,SOV08b Operational ProcessMapping (Matrix),SAF_SOV08b_View_OperationalProcessMapping_MatrixView,41,64,121,255,255,255,null
