X,Y,Text to Display,Element To Create,BGR,BGG,BGB,FGR,FGB,FGG,Stereotype
0,0,Domain/Aspect  ,null,0,0,0,255,255,255,null
1,0,01-Story &Context,null,0,0,0,255,255,255,null
2,0,02-Structure  ,null,0,0,0,255,255,255,null
3,0,03-Process &Behaviour,null,0,0,0,255,255,255,null
4,0,04-Interaction &Collaboration,null,0,0,0,255,255,255,null
5,0,05-Interface  ,null,0,0,0,255,255,255,null
6,0,06-Requirement  ,null,0,0,0,255,255,255,null
7,0,07-Safety &Security,null,0,0,0,255,255,255,null
8,0,08-Mapping &CrossReference,null,0,0,0,255,255,255,null
0,1,Physical Domain,null,120,148,64,255,255,255,null
0,2,Physical Domain,null,120,148,64,255,255,255,null
0,3,Physical Domain,null,120,148,64,255,255,255,null
0,4,Physical Domain,null,120,148,64,255,255,255,null
1,1,-,null,120,148,64,255,255,255,null
1,2,SPV01b Physical Context Definition,SAF_SPV01b_View_PhysicalContextDefinition,120,148,64,255,255,255,null
1,3,SPV01c Physical Context Exchange,SAF_SPV01c_View_PhysicalContextExchange,120,148,64,255,255,255,null
1,4,-,null,120,148,64,255,255,255,null
2,1,SPV02a Physical Structure,SAF_SPV02a_View_PhysicalStructure,120,148,64,255,255,255,null
2,2,-,null,120,148,64,255,255,255,null
2,3,-,null,120,148,64,255,255,255,null
2,4,-,null,120,148,64,255,255,255,null
3,1,-,null,120,148,64,255,255,255,null
3,2,-,null,120,148,64,255,255,255,null
3,3,-,null,120,148,64,255,255,255,null
3,4,-,null,120,148,64,255,255,255,null
4,1,-,null,120,148,64,255,255,255,null
4,2,SPV04b Physical Internal Exchange,SAF_SPV04b_View_PhysicalInternalExchange,120,148,64,255,255,255,null
4,3,-,null,120,148,64,255,255,255,null
4,4,-,null,120,148,64,255,255,255,null
5,1,SPV05a Physical Interface Definition,SAF_SPV05a_View_PhysicalInterfaceDefinition,120,148,64,255,255,255,null
5,2,-,null,120,148,64,255,255,255,null
5,3,-,null,120,148,64,255,255,255,null
5,4,-,null,120,148,64,255,255,255,null
6,1,-,null,120,148,64,255,255,255,null
6,2,-,null,120,148,64,255,255,255,null
6,3,-,null,120,148,64,255,255,255,null
6,4,-,null,120,148,64,255,255,255,null
7,1,-,null,120,148,64,255,255,255,null
7,2,-,null,120,148,64,255,255,255,null
7,3,-,null,120,148,64,255,255,255,null
7,4,-,null,120,148,64,255,255,255,null
8,1,SPV08a Physical Logical Mapping (Diagram),SAF_SPV08a_View_PhysicalLogicalMapping_Diagram,120,148,64,255,255,255,null
8,2,SPV08a Physical Logical Mapping (Matrix),SAF_SPV08a_View_PhysicalLogicalMapping_MatrixView,120,148,64,255,255,255,null
8,3,SPV08a Physical Logical Mapping (Table),SAF_SPV08a_View_PhysicalLogicalMapping_TableView,120,148,64,255,255,255,null
8,4,-,null,120,148,64,255,255,255,null
