X,Y,Text to Display,Element To Create,BGR,BGG,BGB,FGR,FGB,FGG,Stereotype
0,0,,null,0,0,0,255,255,255,null
1,0,Requirements Analysis,null,0,0,0,255,255,255,null
2,0,Functional Analysis,null,0,0,0,255,255,255,null
3,0,Architectural Analysis,null,0,0,0,255,255,255,null
4,0,Architectural Design,null,0,0,0,255,255,255,null
1,1,Package,Package,252,190,3,0,0,0,null
1,2,CSV Importer,CSVImporter,252,190,3,0,0,0,null
1,3,Requirements Diagram,Requirements Diagram,51,202,255,0,0,0,null
1,4,Requirement,Requirement,252,190,3,0,0,0,null
1,5,Requirements Table,Requirements Table,123,252,3,0,0,0,null
2,1,Actor Table,Actor Table,123,252,3,0,0,0,null
2,2,Use Case Table,Use Case Table,123,252,3,0,0,0,null
2,3,Use Case Diagram,UseCaseDiagram,51,202,255,0,0,0,null
2,4,Use CaseTraeability Matrix,Use CaseTraeability Matrix,218,247,166,0,0,0,null
2,4,Activity Diagram,ActivityDiagram,51,202,255,0,0,0,null
2,5,-,null,255,240,240,0,0,0,null
3,1,Parametric Diagram,Parametric Diagram,51,202,255,0,0,0,null
3,2,Viewpoint,Viewpoint,252,190,3,0,0,0,null
3,3,-,null,255,240,240,0,0,0,null
3,4,-,null,255,240,240,0,0,0,null
3,5,-,null,255,240,240,0,0,0,null
4,1,Block Definition Diagram,Block Definition Diagram,51,202,255,0,0,0,null
4,2,Internal Block Diagram,Internal Block Diagram,51,202,255,0,0,0,null
4,3,Block,Block,252,190,3,0,0,0,null
4,4,Subsystem,Block,255,240,240,0,0,0,Subsystem
4,5,-,null,255,240,240,0,0,0,null
